Image;Tracing;X [pix];Y [pix]
AG003TFN_000020;N1;21;282
AG003TFN_000020;N1;66;268
AG003TFN_000020;N1;132;254
AG003TFN_000020;N1;183;241
AG003TFN_000020;N2;248;85
AG003TFN_000020;N2;181;172
AG003TFN_000020;N2;112;243
AG003TFN_000020;N2;57;285
AG003TFN_000020;N4;120;15
AG003TFN_000020;N4;37;94
AG003TFN_000020;N4;3;117
AG003TFN_000020;N5;54;105
AG003TFN_000020;N5;4;133
AG003TFN_000020;N6;234;312
AG003TFN_000020;N6;153;398
AG003TFN_000020;N7;111;469
AG003TFN_000020;N7;2;593
AG003TFN_000020;N8;30;356
AG003TFN_000020;N8;2;407
AG003TFN_000020;N9;141;458
AG003TFN_000020;N9;108;552
AG003TFN_000020;N9;92;625
AG003TFN_000020;N10;359;279
AG003TFN_000020;N10;286;342
AG003TFN_000020;N10;218;395
AG003TFN_000020;N10;198;404
AG003TFN_000020;N11;417;331
AG003TFN_000020;N11;360;391
AG003TFN_000020;N11;332;425
AG003TFN_000020;N11;283;469
AG003TFN_000020;N12;217;535
AG003TFN_000020;N12;178;603
AG003TFN_000020;N12;143;664
AG003TFN_000020;N13;282;573
AG003TFN_000020;N13;254;603
AG003TFN_000020;N13;218;661
AG003TFN_000020;N13;182;725
AG003TFN_000020;N13;142;782
AG003TFN_000020;N14;278;589
AG003TFN_000020;N14;256;626
AG003TFN_000020;N15;304;612
AG003TFN_000020;N15;258;694
AG003TFN_000020;N15;219;758
AG003TFN_000020;N15;200;782
AG003TFN_000020;N16;472;392
AG003TFN_000020;N16;429;439
AG003TFN_000020;N16;388;493
AG003TFN_000020;N16;357;528
AG003TFN_000020;N17;588;450
AG003TFN_000020;N17;518;516
AG003TFN_000020;N17;459;569
AG003TFN_000020;N17;438;585
AG003TFN_000020;N18;361;631
AG003TFN_000020;N18;326;719
AG003TFN_000020;N18;303;778
AG003TFN_000020;N18;291;805
AG003TFN_000020;N19;407;644
AG003TFN_000020;N19;399;700
AG003TFN_000020;N19;386;729
AG003TFN_000020;N20;351;772
AG003TFN_000020;N20;383;734
AG003TFN_000020;N21;443;685
AG003TFN_000020;N21;418;715
AG003TFN_000020;N21;390;753
AG003TFN_000020;N21;368;784
AG003TFN_000020;N22;636;509
AG003TFN_000020;N22;572;576
AG003TFN_000020;N22;538;621
AG003TFN_000020;N22;519;646
AG003TFN_000020;N23;447;619
AG003TFN_000020;N23;472;598
AG003TFN_000020;N23;496;590
AG003TFN_000020;N23;534;583
AG003TFN_000020;N24;515;740
AG003TFN_000020;N24;493;824
AG003TFN_000020;N24;488;885
AG003TFN_000020;N24;487;914
AG003TFN_000020;N25;544;754
AG003TFN_000020;N25;531;808
AG003TFN_000020;N25;522;843
AG003TFN_000020;N25;514;863
AG003TFN_000020;N26;580;799
AG003TFN_000020;N26;552;859
AG003TFN_000020;N26;530;916
AG003TFN_000020;N26;518;951
AG003TFN_000020;N27;562;721
AG003TFN_000020;N27;595;721
AG003TFN_000020;N27;622;711
AG003TFN_000020;N27;653;699
AG003TFN_000020;N28;757;591
AG003TFN_000020;N28;722;664
AG003TFN_000020;N28;691;707
AG003TFN_000020;N28;660;760
AG003TFN_000020;N29;881;655
AG003TFN_000020;N29;821;735
AG003TFN_000020;N29;757;819
AG003TFN_000020;N30;940;753
AG003TFN_000020;N30;908;785
AG003TFN_000020;N30;859;825
AG003TFN_000020;N30;827;849
AG003TFN_000020;N30;811;868
AG003TFN_000020;N31;953;731
AG003TFN_000020;N31;924;760
AG003TFN_000020;N31;889;792
AG003TFN_000020;N31;874;806
AG003TFN_000020;N32;698;896
AG003TFN_000020;N32;634;980
AG003TFN_000020;N32;573;1067
AG003TFN_000020;N32;547;1109
AG003TFN_000020;N33;810;975
AG003TFN_000020;N33;787;1010
AG003TFN_000020;N33;773;1068
AG003TFN_000020;N33;754;1140
AG003TFN_000020;N33;746;1166
AG003TFN_000020;N34;909;1022
AG003TFN_000020;N34;875;1069
AG003TFN_000020;N34;856;1093
AG003TFN_000020;N34;841;1106
AG003TFN_000020;N35;914;1044
AG003TFN_000020;N35;859;1137
AG003TFN_000020;N35;819;1204
AG003TFN_000020;N35;795;1251
AG003TFN_000020;N35;783;1272
AG003TFN_000020;N36;1085;751
AG003TFN_000020;N36;1027;826
AG003TFN_000020;N36;976;892
AG003TFN_000020;N36;946;934
AG003TFN_000020;N37;1140;828
AG003TFN_000020;N37;1052;892
AG003TFN_000020;N37;985;948
AG003TFN_000020;N37;957;978
AG003TFN_000020;N38;982;1055
AG003TFN_000020;N38;973;1119
AG003TFN_000020;N39;1020;1115
AG003TFN_000020;N39;947;1229
AG003TFN_000020;N40;1025;1112
AG003TFN_000020;N40;965;1276
AG003TFN_000020;N41;951;1274
AG003TFN_000020;N41;976;1245
AG003TFN_000020;N41;1017;1193
AG003TFN_000020;N41;1050;1159
AG003TFN_000020;N41;1065;1132
AG003TFN_000020;N42;1045;1195
AG003TFN_000020;N42;1053;1159
AG003TFN_000020;N42;1071;1125
AG003TFN_000020;N43;1165;843
