Image;Tracing;X [pix];Y [pix]
AG00IHWX_000000;N1;53;1989
AG00IHWX_000000;N1;1;1908
AG00IHWX_000000;N2;14;1839
AG00IHWX_000000;N2;80;1927
AG00IHWX_000000;N3;75;1823
AG00IHWX_000000;N3;116;1873
AG00IHWX_000000;N3;159;1905
AG00IHWX_000000;N3;158;1905
AG00IHWX_000000;N3;163;1908
AG00IHWX_000000;N4;147;1771
AG00IHWX_000000;N4;176;1811
AG00IHWX_000000;N4;187;1837
AG00IHWX_000000;N5;166;1772
AG00IHWX_000000;N5;169;1781
AG00IHWX_000000;N6;40;1604
AG00IHWX_000000;N6;62;1658
AG00IHWX_000000;N6;83;1704
AG00IHWX_000000;N7;200;1581
AG00IHWX_000000;N7;216;1643
AG00IHWX_000000;N8;242;1597
AG00IHWX_000000;N8;238;1617
AG00IHWX_000000;N8;244;1636
AG00IHWX_000000;N9;278;1702
AG00IHWX_000000;N9;297;1722
AG00IHWX_000000;N10;281;1715
AG00IHWX_000000;N10;325;1777
AG00IHWX_000000;N11;287;1445
AG00IHWX_000000;N11;334;1575
AG00IHWX_000000;N12;359;1540
AG00IHWX_000000;N12;356;1571
AG00IHWX_000000;N12;363;1598
AG00IHWX_000000;N13;390;1660
AG00IHWX_000000;N13;428;1725
AG00IHWX_000000;N14;419;1636
AG00IHWX_000000;N14;461;1733
AG00IHWX_000000;N15;487;1601
AG00IHWX_000000;N15;494;1651
AG00IHWX_000000;N15;496;1668
AG00IHWX_000000;N16;408;1511
AG00IHWX_000000;N16;434;1536
AG00IHWX_000000;N17;419;1475
AG00IHWX_000000;N17;431;1508
AG00IHWX_000000;N17;437;1526
AG00IHWX_000000;N18;446;1448
AG00IHWX_000000;N18;463;1471
AG00IHWX_000000;N18;473;1500
AG00IHWX_000000;N19;558;1573
AG00IHWX_000000;N19;575;1602
AG00IHWX_000000;N19;588;1635
AG00IHWX_000000;N20;530;1390
AG00IHWX_000000;N20;546;1446
AG00IHWX_000000;N20;552;1476
AG00IHWX_000000;N21;592;1350
AG00IHWX_000000;N21;592;1389
AG00IHWX_000000;N21;606;1443
AG00IHWX_000000;N22;664;1534
AG00IHWX_000000;N22;689;1560
AG00IHWX_000000;N22;704;1584
AG00IHWX_000000;N23;668;1381
AG00IHWX_000000;N23;683;1444
AG00IHWX_000000;N24;702;1229
AG00IHWX_000000;N24;729;1296
AG00IHWX_000000;N24;763;1396
AG00IHWX_000000;N25;799;1493
AG00IHWX_000000;N25;829;1575
AG00IHWX_000000;N26;799;1465
AG00IHWX_000000;N26;809;1500
AG00IHWX_000000;N26;824;1517
AG00IHWX_000000;N27;833;1298
AG00IHWX_000000;N27;809;1405
AG00IHWX_000000;N28;835;1245
AG00IHWX_000000;N28;875;1357
AG00IHWX_000000;N29;882;1436
AG00IHWX_000000;N29;896;1475
AG00IHWX_000000;N29;903;1501
AG00IHWX_000000;N29;915;1527
AG00IHWX_000000;N30;891;1220
AG00IHWX_000000;N30;904;1342
AG00IHWX_000000;N31;931;1312
AG00IHWX_000000;N31;930;1367
AG00IHWX_000000;N32;934;1445
AG00IHWX_000000;N32;968;1531
AG00IHWX_000000;N33;969;1400
AG00IHWX_000000;N33;971;1429
AG00IHWX_000000;N33;981;1458
AG00IHWX_000000;N34;1090;1208
AG00IHWX_000000;N34;1070;1315
AG00IHWX_000000;N35;1002;1125
AG00IHWX_000000;N35;1039;1292
AG00IHWX_000000;N36;1067;1367
AG00IHWX_000000;N36;1075;1428
AG00IHWX_000000;N36;1083;1465
AG00IHWX_000000;N37;1143;1346
AG00IHWX_000000;N37;1151;1405
AG00IHWX_000000;N37;1165;1427
AG00IHWX_000000;N38;1195;1347
AG00IHWX_000000;N38;1209;1416
AG00IHWX_000000;N38;1223;1435
AG00IHWX_000000;N39;1180;1121
AG00IHWX_000000;N39;1192;1176
AG00IHWX_000000;N39;1202;1252
AG00IHWX_000000;N41;1256;1209
AG00IHWX_000000;N41;1260;1256
AG00IHWX_000000;N41;1264;1267
AG00IHWX_000000;N42;1286;1311
AG00IHWX_000000;N42;1324;1391
AG00IHWX_000000;N42;1336;1426
AG00IHWX_000000;N43;1345;1135
AG00IHWX_000000;N43;1357;1188
AG00IHWX_000000;N44;1336;1048
AG00IHWX_000000;N44;1364;1124
AG00IHWX_000000;N44;1379;1196
AG00IHWX_000000;N45;1400;1276
AG00IHWX_000000;N45;1413;1328
AG00IHWX_000000;N45;1421;1347
AG00IHWX_000000;N46;1407;1274
AG00IHWX_000000;N46;1419;1293
AG00IHWX_000000;N46;1424;1309
AG00IHWX_000000;N46;1434;1319
AG00IHWX_000000;N47;1459;1055
AG00IHWX_000000;N47;1473;1121
AG00IHWX_000000;N47;1479;1151
AG00IHWX_000000;N48;1511;1079
AG00IHWX_000000;N48;1517;1130
AG00IHWX_000000;N48;1519;1153
