Image;Tracing;X [pix];Y [pix]
AG00IHWX_000007;N1;57;1413
AG00IHWX_000007;N1;108;1536
AG00IHWX_000007;N1;150;1624
AG00IHWX_000007;N2;152;1382
AG00IHWX_000007;N2;176;1452
AG00IHWX_000007;N2;240;1600
AG00IHWX_000007;N3;125;1109
AG00IHWX_000007;N3;144;1165
AG00IHWX_000007;N3;150;1210
AG00IHWX_000007;N3;160;1264
AG00IHWX_000007;N3;161;1296
AG00IHWX_000007;N4;218;902
AG00IHWX_000007;N4;225;1060
AG00IHWX_000007;N4;226;1194
AG00IHWX_000007;N4;232;1257
AG00IHWX_000007;N5;276;1365
AG00IHWX_000007;N5;320;1542
AG00IHWX_000007;N5;338;1650
AG00IHWX_000007;N5;346;1710
AG00IHWX_000007;N6;344;1462
AG00IHWX_000007;N6;318;1421
AG00IHWX_000007;N6;298;1381
AG00IHWX_000007;N6;286;1349
AG00IHWX_000007;N7;334;1498
AG00IHWX_000007;N7;284;1353
AG00IHWX_000007;N8;276;1118
AG00IHWX_000007;N8;308;1250
AG00IHWX_000007;N9;316;1156
AG00IHWX_000007;N9;316;1188
AG00IHWX_000007;N9;316;1218
AG00IHWX_000007;N9;310;1248
AG00IHWX_000007;N10;357;1001
AG00IHWX_000007;N10;392;1114
AG00IHWX_000007;N10;409;1188
AG00IHWX_000007;N10;422;1222
AG00IHWX_000007;N11;412;1330
AG00IHWX_000007;N11;489;1553
AG00IHWX_000007;N11;525;1632
AG00IHWX_000007;N12;514;1529
AG00IHWX_000007;N12;469;1461
AG00IHWX_000007;N12;429;1413
AG00IHWX_000007;N12;384;1317
AG00IHWX_000007;N13;601;1525
AG00IHWX_000007;N13;552;1429
AG00IHWX_000007;N13;509;1346
AG00IHWX_000007;N13;485;1302
AG00IHWX_000007;N14;490;1044
AG00IHWX_000007;N14;492;1066
AG00IHWX_000007;N14;502;1109
AG00IHWX_000007;N14;504;1172
AG00IHWX_000007;N14;509;1205
AG00IHWX_000007;N15;574;1282
AG00IHWX_000007;N15;592;1385
AG00IHWX_000007;N15;606;1449
AG00IHWX_000007;N15;614;1496
AG00IHWX_000007;N16;613;1010
AG00IHWX_000007;N16;609;1072
AG00IHWX_000007;N16;592;1154
AG00IHWX_000007;N16;588;1197
AG00IHWX_000007;N17;570;1125
AG00IHWX_000007;N17;609;1168
AG00IHWX_000007;N17;624;1184
AG00IHWX_000007;N17;624;1214
AG00IHWX_000007;N17;616;1233
AG00IHWX_000007;N18;653;1276
AG00IHWX_000007;N18;714;1445
AG00IHWX_000007;N19;670;948
AG00IHWX_000007;N19;664;1036
AG00IHWX_000007;N19;668;1129
AG00IHWX_000007;N19;670;1185
AG00IHWX_000007;N20;748;1276
AG00IHWX_000007;N20;761;1318
AG00IHWX_000007;N20;798;1493
AG00IHWX_000007;N20;822;1598
AG00IHWX_000007;N21;701;892
AG00IHWX_000007;N21;726;1014
AG00IHWX_000007;N21;761;1157
AG00IHWX_000007;N22;836;1260
AG00IHWX_000007;N22;858;1454
AG00IHWX_000007;N22;862;1626
AG00IHWX_000007;N23;997;928
AG00IHWX_000007;N23;945;973
AG00IHWX_000007;N23;892;1017
